id	w	p	l	c1	c2	pred
4615	stay	V	T	Stay alone .	We stayed in Hawaii for a week .	F
4616	leave	V	F	She wants to leave .	The president 's remarks left us speechless .	F
4617	electrify	V	F	To electrify a jar .	This patriotic sentiment electrified the audience .	F
4618	order	N	T	I gave the waiter my order .	The company 's products were in such demand that they got more orders than their call center could handle .	T
4619	tip	N	F	He got a tip on the stock market .	They clambered to the tip of Monadnock .	F
4620	crack	N	F	Open the door a crack .	There was a crack in the mirror .	T
4621	patch	N	F	A patch of bad weather .	A patch of clouds .	T
4622	application	N	F	The application of indexes to tables of data .	The iPhone application VR+ connects to major social networks .	F
4623	youth	N	F	Her youth and beauty is what attracted him to her .	I made many mistakes in my youth , but learned from them all .	T
4624	use	V	T	We only use Spanish at home .	Use your head !	F
4625	relationship	N	F	He did n't want his wife to know of the relationship .	The relationship between mothers and their children .	F
4626	carry	V	T	Carry the suitcases to the car .	Amanda carried the package .	T
4627	explosion	N	F	The explosion was heard a mile away .	An explosion of rage .	F
4628	thrust	V	F	She thrust the letter into his hand .	The front of the trains that had collided head-on thrust up into the air .	T
4629	scale	N	T	The scale of the model .	There are some who question the scale of our ambitions .	F
4630	run	V	T	Run a risk .	Run a temperature .	F
4631	set	N	T	The subjects ' set led them to solve problems the familiar way and to overlook the simpler solution .	His instructions deliberately gave them the wrong set .	T
4632	component	N	T	A CPU is a component of a computer .	Spare components for cars .	T
4633	approach	V	T	Do n't approach that house .	He was an admirable poet , and thought even to have approached Homer . -- Sir William Temple .	T
4634	charge	V	F	How much do you charge for lunch ?	The speaker charged up the crowd with his inflammatory remarks .	F
4635	left	N	F	Take a left at the corner .	Jab with your left .	F
4636	be	V	T	I shall be writing to you soon .	3 times 5 is fifteen .	F
4637	open	V	F	Vermont will open elk hunting season next week .	This opens up new possibilities .	F
4638	save	V	F	This will save you a lot of time .	She saved the old family photographs in a drawer .	F
4639	get	V	T	We 'll get them !	This time I got him .	T
4640	face	N	F	They climbed the north face of the mountain .	The face of the city is changing .	F
4641	drive	N	F	His drive and energy exhausted his co-workers .	The riverside drive offers many exciting scenic views .	F
4642	see	V	T	He is blind -- he can not see .	I saw their laughing and joking .	F
4643	bake	V	T	Potatoes bake to a crisp .	I baked a delicious cherry pie .	T
4644	leave	V	F	At what time does your train leave ?	His good luck finally left him .	F
4645	volunteer	V	T	To volunteer for doing the dishes .	He volunteered the information .	F
4646	guard	V	T	Guard against infection .	Guard against becoming too friendly with the staff .	F
4647	make	V	T	She may not make the grade .	We made it !	F
4648	direction	N	F	Is the direction of the economy a function of government ?	He gave directions faster than she could follow them .	F
4649	song	N	F	I love hearing the song of canary birds .	The song of the wind .	F
4650	declare	V	F	Declare dividends .	The President declared war .	F
4651	snap	V	F	Snap your fingers .	Bullets snapped past us .	F
4652	difference	N	F	You need to learn to be more tolerant of difference .	It just wo n't make much of a difference to anyone .	T
4653	drop	N	T	There was a drop in pressure in the pulmonary artery .	A drop of 57 points on the Dow Jones index .	F
4654	converge	V	F	The lines converge at this point .	The crowd converged on the movie star .	T
4655	catch	V	T	I have to stop for a moment and catch my breath .	I caught some Z 's on the train .	F
4656	enter	V	T	Enter a drug treatment program .	Enter negotiations .	F
4657	toe	V	F	Toe a nail .	She toes inwards .	F
4658	make	V	T	Make a phone call .	Make a move .	F
4659	howl	N	F	The howl of the wind made him restless .	He gave a howl of pain .	F
4660	throw	V	F	Throw the car into reverse .	The horse threw its inexperienced rider .	F
4661	hold	N	F	He has a hold over them .	He ordered a hold in the action .	T
4662	end	N	T	Start at the beginning and go on until you come to the end .	At the end of the story , the main characters fall in love .	F
4663	weakness	N	F	His weakness increased as he became older .	He has a weakness for chocolate .	F
4664	intermingle	V	T	We do n't intermingle much .	The yolks and the whites intermingled .	F
4665	resistance	N	T	The enemy offered little resistance .	The resistance of bacteria to certain antibiotics .	F
4666	throw	V	F	Throw accusations at someone .	The horse threw its inexperienced rider .	F
4667	crash	N	F	The crash occurred during a thunderstorm and the system has been down ever since .	His crash through the window .	F
4668	follow	V	F	We must follow closely the economic development is Cuba .	Please follow the guide through the museum .	T
4669	part	N	T	They resisted every effort on his part .	It requires vigilance on our part .	T
4670	operation	N	T	A multinational operation .	They had to consolidate their operations .	T
4671	make	V	T	They make a cute couple .	One swallow does not a summer make .	F
4672	mean	V	F	I mean no harm .	Happiness means everything .	F
4673	foot	N	T	Curled up on the foot of the bed .	The foot of the page .	F
4674	seat	N	T	The seat of a saddle .	He sat on the arm of the chair rather than the seat , which always annoyed his mother .	T
4675	operation	N	F	A large-scale farming operation .	It can perform millions of operations per second .	F
4676	bear	V	F	She agreed to bear the responsibility .	Bearing orders .	T
4677	origin	N	T	Mineral origin .	Vegetable origins .	F
4678	quality	N	F	A man of quality .	While being impulsive can be great for artists , it is not a desirable quality for engineers .	F
4679	art	N	F	An art exhibition .	I was never any good at art .	T
4680	mercy	N	F	It was a mercy that we were not inside when the roof collapsed .	He threw himself on the mercy of the court .	F
4681	erase	V	F	The files will erase quickly .	I erased that note because it was wrong .	T
4682	war	N	F	War was declared in November but actual fighting did not begin until the following spring .	The " war on terror " is a campaign against terrorist crime .	F
4683	make	V	T	Clothes make the man .	This makes the third infraction .	F
4684	strike	V	F	Strike a bargain .	We must strike the enemy 's oil fields .	F
4685	demobilization	N	T	Immediate demobilization of the reserves .	Demobilization of factories .	F
4686	spot	N	F	Night spot .	A leopard 's spots .	F
4687	touch	V	T	I would n't touch her with a ten-foot pole .	The local Mafia wo n't touch gambling .	F
4688	set	V	F	Set the table .	Set the dogs on the scent of the missing children .	F
4689	have	V	F	What do we have here ?	Have a lover .	F
4690	majority	N	T	Those opposing the building plans were in the majority , so the building project was canceled .	The majority agreed that the new proposal was the best .	T
4691	profession	N	T	The news spread rapidly through the medical profession .	His conduct is against the established practices of the legal profession .	T
4692	extend	V	T	The facts extend beyond a consideration of her personal assets .	My memory extends back to my fourth year of life .	T
4693	attack	N	T	His plan of attack was misguided .	An attack on inflation .	F
4694	throw	V	F	The horse threw its rider .	Throw a glance .	F
4695	head	N	T	I could n't get his words out of my head .	This song keeps going through my head .	T
4696	fire	N	F	He went through fire and damnation .	Hold your fire until you can see the whites of their eyes .	F
4697	make	V	T	Make a phone call .	Make a decision .	F
4698	put	V	F	He put all his efforts into this job .	I would n't put it that way .	F
4699	finish	N	T	When the finish is too thin it is difficult to apply evenly .	He applied a coat of a clear finish .	F
4700	stick	V	F	Stick the photo onto the corkboard .	Stick some feathers in the turkey before you serve it .	T
4701	furniture	N	T	They had too much furniture for the small apartment .	There was only one piece of furniture in the room .	F
4702	day	N	T	My day began early this morning .	It was a busy day on the stock exchange .	T
4703	interest	N	T	Victorian furniture is an interest of mine .	Lexicography is one of my interests .	T
4704	port	V	F	Port the helm .	Port arms !	F
4705	say	V	F	What does the law say ?	She said her ` Hail Mary ' .	T
4706	fatigue	N	T	The American public is experiencing scandal fatigue .	After watching TV with her husband she had a bad case of football fatigue .	F
4707	grow	V	T	Corn does n't grow here .	In these forests , mushrooms grow under the trees .	F
4708	building	N	T	My sister lives in that apartment building .	There was a three-story building on the corner .	T
4709	burn	V	F	Burn a CD .	Witches were burned in Salem .	F
4710	matter	N	F	He always took some reading matter with him on the plane .	They were friends and it was no matter who won the games .	F
4711	tension	N	T	There is a tension between these approaches to understanding history .	There is a tension created between narrative time and movie time .	T
4712	time	N	F	We had a wonderful time at the party .	He is not living at home because he is doing time .	F
4713	verify	V	T	Verify a claim .	Please verify that the doors are closed .	T
4714	outwardness	N	T	What is the origin of the outwardness of our sensations of sound , smell , or taste .	An abstract conception with feelings of reality and spatial outwardness attached to it .	F
4715	play	V	T	Play games .	Pele played for the Brazilian teams in many important matches .	F
4716	beat	V	F	The drums beat all night .	Beat the rhythm .	T
4717	feel	V	T	My cold is gone -- I feel fine today .	She felt tired after the long hike .	T
4718	hold	V	T	To hold good .	The weather held .	F
4719	case	N	F	It was a case of bad judgment .	A case of the jitters .	F
4720	copy	N	T	The clone was a copy of its ancestor .	Please bring me the copies of those reports .	F
4721	strike	V	T	Strike a medal .	Strike coins .	T
4722	quality	N	T	The quality of mercy is not strained "-- Shakespeare .	One of the qualities of pure iron is that it does not rust easily .	F
4723	treat	V	F	Treat the lawn with chemicals .	Do n't worry about the expensive wine -- I'm treating .	T
4724	proficiency	N	T	To attain ( or to reach ) proficiency .	A test of proficiency in English .	T
4725	beg	V	T	I beg your pardon . I did n't mean to cause offence .	I begged her for release .	F
4726	bevy	N	T	A bevy of young beach boys swarmed around him .	He was surrounded by a bevy of beauties in bathing attire .	T
4727	believe	V	T	When you hear his sermons , you will be able to believe , too .	After that night in the church , I believed .	T
4728	institution	N	T	The institution of marriage .	He had become an institution in the theater .	F
4729	lot	N	F	They were an angry lot .	Lots of people think so .	F
4730	draft	N	F	They served beer on draft .	He left the country to avoid the draft .	F
4731	go	V	T	These ugly billboards have to go !	This chair has got to go .	T
4732	mouth	N	F	She wiped lipstick from her mouth .	The jar had a wide mouth .	F
4733	time	N	T	This time he succeeded .	When was the last time we went out ? I do n't remember .	T
4734	admit	V	T	To admit evidence in the trial of a cause .	A ticket admits one into a playhouse .	F
4735	side	N	F	He is on the purchasing side of the business .	The patient was bleeding on the right side .	F
4736	note	N	T	It ended on a sour note .	There was a note of gaiety in her manner .	F
4737	eye	N	T	He has an artist 's eye .	She has an eye for fresh talent .	T
4738	window	N	T	You have a two-hour window of clear weather to finish working on the lawn .	Window of opportunity .	F
4739	mean	V	T	I mean no harm .	I only meant to help you .	T
4740	smell	V	T	Smell out corruption .	I smell trouble .	T
4741	consider	V	F	You must consider her age .	I 'm considering going to the beach tomorrow .	T
4742	economy	N	F	Economy of effort .	The Scots are famous for their economy .	F
4743	answer	V	T	Answer the telephone .	Nobody answered when I knocked on the door .	F
4744	language	N	F	The English language .	He did n't have the language to express his feelings .	T
4745	dress	V	F	Dress a turkey .	Dress the surface smooth .	F
4746	drop	N	T	He had a drop too much to drink .	A drop of each sample was analyzed .	F
4747	dip	N	F	There was a dip in the road .	This onion dip is just scrumptious .	F
4748	bit	N	F	I 'd like a big bit of cake , please .	There are 8 bits in a byte .	F
4749	date	N	T	They are up to date .	We have n't heard from them to date .	F
4750	lunchtime	N	T	He observed a regular lunchtime .	It 's almost lunchtime , so I think I 'll finish up later this afternoon .	T
4751	beg	V	T	Beg the question .	Beg the point in the discussion .	F
4752	home	N	T	Home is where the heart is .	There 's no place like home .	T
4753	academy	N	F	A riding academy .	The American Academy of Arts and Sciences .	F
4754	shopping	N	T	Women carrying home shopping did n't give me a second glance .	I carried three heavy bags of shopping up the stairs .	T
4755	resign	V	T	He had no choice but to resign the game and let his opponent become the champion .	After fighting for so long , she finally resigned to her death .	F
4756	direction	N	F	Is the direction of the economy a function of government ?	I could n't follow the direction of his thoughts .	F
4757	baby	N	T	The annual report has been my baby since September .	This project is his baby .	T
4758	strike	V	T	The opponent refused to strike .	The boxer struck the attacker dead .	F
4759	seek	V	T	Seek happiness .	Seek an education .	T
4760	quality	N	F	The quality of students has risen .	A peasant is not allowed to fall in love with a lady of quality .	F
4761	beg	V	T	I beg your pardon . I did n't mean to cause offence .	I begged for her to do it .	T
4762	performance	N	F	They admired his performance under stress .	They listened to ten different performances .	F
4763	begin	V	F	You can not even begin to understand the problem we had to deal with during the war .	He began early in the day .	F
4764	apparition	N	T	The apparition of Lawyer Clippurse occasioned much speculation in that portion of the world . – Sir W. Scott .	Natives were amazed at the apparition of this white stranger .	T
4765	case	N	F	A mental case .	The musicians left their instrument cases backstage .	F
4766	keep	V	T	Keep count .	I can not keep track of all my employees .	F
4767	top	N	F	She tied her bikini top .	He screamed at the top of his lungs .	F
4768	score	N	F	Add it to my score and I 'll settle later .	A score were sent out but only one returned .	T
4769	impression	N	F	He did a funny impression of a politician .	The dentist took an impression for use in preparing an inlay .	F
4770	take	V	T	I 'll take the blue plates .	We took the road on the right .	T
4771	care	V	T	I do n't care .	I do n't care what he does .	T
4772	scene	N	F	He made a scene .	The play is divided into three acts , and in total twenty-five scenes .	F
4773	seek	V	T	Seek happiness .	Seek a position .	F
4774	order	N	F	The house is in order .	IBM received an order for a hundred computers .	F
4775	land	V	T	The plane is about to land .	The ship landed in Pearl Harbor .	F
4776	heart	N	F	The heart and soul of the Republican Party .	They ran forward into the heart of the struggle .	T
4777	check	V	F	Check your luggage before boarding .	She checked for an instant and missed a step .	T
4778	practice	N	T	A hard theory to put into practice .	That may work in theory , but will it work in practice ?	T
4779	receive	V	T	Receive payment .	Receive a gift .	T
4780	system	N	T	The system consists of a motor and a small computer .	He bought a new stereo system .	F
4781	pull	V	F	Pull a horse .	You 'll be sent home if you pull another stunt like that .	F
4782	boy	N	T	The baby was a boy .	Steve is a boy of 16 .	F
4783	confidence	N	F	I have confidence in our team .	Everyone trusted him with their confidences .	F
4784	pop	V	F	Pop the clutch .	The muskets popped away on all sides .	F
4785	disposition	N	F	A swelling with a disposition to rupture .	Salt has a disposition to dissolve in water .	F
4786	quality	N	T	While being impulsive can be great for artists , it is not a desirable quality for engineers .	One of the qualities of pure iron is that it does not rust easily .	F
4787	leave	V	T	Leave the flowers that you see in the park behind .	Leave it as is .	T
4788	furniture	N	T	The woman does not even have one stick of furniture moved in yet .	They had too much furniture for the small apartment .	T
4789	pay	V	F	Pay a debt .	Do n't pay him any mind .	F
4790	pay	V	F	Pay a visit .	It pays to go through the trouble .	F
4791	shade	N	T	It is much cooler in the shade .	Close the shade , please : it 's too bright in here .	T
4792	extension	N	F	Good extension comes from a combination of training and native ability .	Extension of the program to all in need .	F
4793	area	N	T	The photo is a little dark in that area .	The area of a rectangle .	F
4794	neck	N	T	The banjo had a long neck .	The bottle had a wide neck .	F
4795	approve	V	T	I approve of his educational policies .	I certainly approved of Mary 's acquaitance .	F
4796	arouse	V	T	Arouse pity .	To arouse jealousy .	F
4797	loaf	N	T	Sugar loaf .	Meat loaf .	F
4798	pay	V	T	How much does this savings certificate pay annually ?	To pay attention .	F
4799	close	V	F	Close with the enemy .	Close the door .	F
4800	lift	V	F	Lift a ban .	I lifted the books onto the table .	F
4801	floor	N	T	Many sunken ships rest on the ocean floor .	The floor of the cave .	T
4802	fall	V	T	Fall asleep .	She fell to pieces after she lost her work .	F
4803	dissent	V	F	Dissent to the laws of the country .	Several Republicans dissented .	T
4804	seat	N	T	He dusted off the seat before sitting down .	There are two hundred seats in this classroom .	T
4805	richness	N	F	He was well aware of the richness of his own appearance .	The richness all around unsettled him for he had expected to find poverty .	T
4806	dig	V	T	Dig the oars into the water .	Dig your foot into the floor .	T
4807	make	V	T	This invention will make you a millionaire .	She made us look silly .	F
4808	eat	V	T	What do whales eat ?	This dog does n't eat certain kinds of meat .	T
4809	pull	V	T	Pull your knees towards your chin .	Pull the handle towards you .	T
4810	cycle	N	T	The " Ring of the Nibelung " is a cycle of four operas by Richard Wagner , the famous nineteenth-century German composer .	Schubert 's song cycles .	T
4811	leave	V	T	Leave the young fawn alone .	Leave the flowers that you see in the park behind .	T
4812	lot	N	T	A building lot in a city .	He bought a lot on the lake .	T
4813	talk	V	T	They sat down to talk business .	Although I do n't speak Chinese I managed to talk with the villagers using signs and gestures .	T
4814	third	N	F	He was cut down on a close play at third .	A simple harmony written in major thirds .	F
4815	tendency	N	T	A tendency to be too strict .	Denim has a tendency to fade .	T
4816	coverage	N	F	They accused the paper of biased coverage of race relations .	There are overlapping coverages on your insurance policies .	F
4817	return	N	F	The return of spring .	The average return was about 5 % .	F
4818	stretch	V	T	Stretch the fabric .	I stretched the rubber band until it almost broke .	T
4819	carry	V	T	These bonds carry warrants .	This new washer carries a two year guarantee .	F
4820	rest	N	T	The sun sets , and the workers go to their rest .	I need to get a good rest tonight ; I was up late last night .	T
4821	clear	V	F	Clear a debt .	The fog cleared in the afternoon .	F
4822	strike	V	T	Strike ` z ' on the keyboard .	The pianist strikes a middle C .	F
4823	misplay	V	T	He misplayed his promising position .	I misplayed the tennis shot , I should have hit it to her right instead of left and she 'd have had more trouble returning it .	T
4824	branch	N	F	A branch of Congress .	He broke off one of the branches .	F
4825	foulness	N	T	Mouths which speak such foulness must be cleansed .	He understood the foulness of sin .	T
4826	top	N	F	He removed the top of the carton .	The mower cuts off the tops of the grass .	F
4827	grate	V	F	Grate one 's teeth in anger .	To grate a window .	F
4828	pledge	N	F	His saxophone was in pledge .	Signed a pledge never to reveal the secret .	F
4829	brim	V	F	Brim a cup to good fellowship .	The room brimmed with people .	T
4830	point	N	F	The main point on the agenda was taken up first .	What is the point of discussing it ?	T
4831	utility	N	F	A computer system provides utility programs to perform the tasks needed by most users .	The price of the house included all utilities .	F
4832	work	V	T	Do you want to work after the age of 60 ?	She never worked because she inherited a lot of money .	F
4833	order	N	T	An explosion of a low order of magnitude .	It was on the order of a mile .	F
4834	tongue	N	F	She has a glib tongue .	Tongues of flame licked at the walls .	F
4835	deliver	V	F	Deliver the mail .	The guard delivered the criminal to the police .	F
4836	sense	N	T	Fortunately she had the good sense to run away .	He has n't got the sense God gave little green apples .	T
4837	denial	N	T	Every time we asked for an interview we got a denial .	It resulted in a complete denial of his privileges .	T
4838	outwardness	N	F	What is the origin of the outwardness of our sensations of sound , smell , or taste .	The outwardness of the world .	F
4839	shopping	N	T	She loaded her shopping into the car .	I carried three heavy bags of shopping up the stairs .	T
4840	bake	V	T	Potatoes bake to a crisp .	She 's been baking all day to prepare for the dinner .	T
4841	forbid	V	T	The rules forbid our smoking .	The rules forbid us from smoking .	T
4842	ball	N	F	The ball was already emptying out before the fire alarm sounded .	The ball rolled into the corner pocket .	F
4843	light	N	T	I 'm really seeing you in a different light today .	Magoon 's governorship in Cuba was viewed in a negative light by many Cuban historians for years thereafter .	F
4844	war	N	T	The " war on terror " is a campaign against terrorist crime .	In the US , conservatives rail against the " war on Christmas " .	F
4845	gather	V	T	Gather some stones .	The teacher gathered the kids together .	T
4846	optimization	N	T	The simultaneous optimization of growth and profitability .	To promote the optimization and diversification of agricultural products .	T
4847	stretch	V	F	Stretch the imagination .	To enjoy the picnic , we stretched out on the grass .	F
4848	hold	V	T	The general ordered the colonel to hold his position at all costs .	Hold the horse .	T
4849	touch	V	F	Please can I have a look , if I promise not to touch ?	I would n't touch her with a ten-foot pole .	T
4850	war	N	T	The " war on drugs " is a campaign against the use of narcotic drugs .	The war on poverty .	F
4851	horizon	N	T	It is beyond the horizon of present knowledge .	Some students take a gap year after finishing high school to broaden their horizons .	T
4852	stay	V	F	Wear gloves so your hands stay warm .	We are staying in Detroit .	F
4853	case	N	F	For English , a compositor will ordinarily have two such cases , the upper case containing the capitals and the lower case containing the small letters .	That was not the case .	F
4854	match	V	F	These two copies are supposed to be identical , but they do n't match .	Match my sweater .	F
4855	floor	N	T	The floor of a cave served the refugees as a home .	Many sunken ships rest on the ocean floor .	F
4856	sell	V	F	The French try to sell us their image as great lovers .	The brothers sell shoes .	F
4857	extension	N	F	The extension of ` satellite of Mars ' is the set containing only Demos and Phobos .	A text file will have a file extension of .txt .	F
4858	have	V	F	I do n't have any money left .	What do we have here ?	T
4859	business	N	F	He bought his brother 's business .	Business has been slow lately .	T
4860	leak	N	T	A leak in a gas pipe .	He had to clean up the leak .	T
4861	key	N	F	He spoke in a low key .	Some students cheated by using the answer key .	F
4862	field	N	T	Anthropologists do much of their work in the field .	He needs some time in the field before his judgment can be trusted .	T
4863	summit	N	T	The region is a few molecules wide at the summit .	In summer , it is possible to hike to the summit of Mt. Shasta .	F
4864	block	N	T	Anne Boleyn placed her head on the block and awaited her execution .	A block of stone .	F
4865	size	N	T	The only city of any size in that area .	He blanched when he saw the size of the bill .	T
4866	folk	N	T	They 're just country folk .	Folks around here drink moonshine .	T
4867	ambition	N	T	My ambition is to own a helicopter .	His ambition is to own his own business .	T
4868	connect	V	T	The new railroad will connect the northern part of the state to the southern part .	Our computers connected .	T
4869	work	V	T	The voting process does n't work as well as people thought .	The medicine works only if you take it with a lot of water .	F
4870	forefront	N	T	The idea of motion was always to the forefront of his mind and central to his philosophy .	The Cotswolds were once at the forefront of woollen manufacturing in England .	T
4871	exercise	N	T	The doctor recommended regular exercise .	The teacher told us the next exercise is to write an essay .	F
4872	strike	V	F	Strike a medal .	The teacher struck the child .	F
4873	order	N	T	Order ruled in the streets .	Law and order .	T
4874	pay	V	T	Does she pay you for the work you are doing ?	He paid off the loan three months early .	F
4875	drive	V	F	Can you drive this four-wheel truck ?	Drive the game .	F
4876	faith	N	F	I have faith in the goodness of my fellow man .	They broke faith with their investors .	F
4877	time	N	T	This time he succeeded .	He called four times .	F
4878	carry	V	T	I carry these thoughts in the back of my head .	I carry a lot of life insurance .	F
4879	business	N	T	They did nearly a million dollars of business over the long weekend .	Business has been slow lately .	T
4880	place	N	F	Do you want to come over to my place later ?	A political system with no place for the less prominent groups .	F
4881	notice	N	T	You did n't give me enough notice .	A notice of sale .	F
4882	period	N	T	Hastened the period of time of his recovery .	Picasso 's blue period .	F
4883	treat	V	F	She was tempted to treat the whole affair as a joke .	The patient must be treated right away or she will die .	F
4884	beat	V	F	Beat the cream .	Beat the subway fare .	F
4885	pull	V	T	Pull the trigger of the gun .	Pull the rope .	T
4886	sanitize	V	T	Sanitize a document before releasing it to the press .	Sanitize the language in a book .	T
4887	operation	N	T	They paid taxes on every stage of the operation .	A multinational operation .	T
4888	part	N	T	She played the part of Desdemona .	We all have a part to play .	T
4889	travel	N	T	He enjoyed selling but he hated the travel .	Space travel .	F
4890	foot	N	F	Armored from head to foot .	Curled up on the foot of the bed .	F
4891	make	V	T	He did n't make the choir after his voice changed .	She makes more than he does , and works longer hours than he does , but she still does most of the house-cleaning .	F
4892	tab	N	T	Files with a red tab will be stored separately .	The collar has a tab with a button hole .	F
4893	rule	N	F	It was his rule to take a walk before breakfast .	He knew the rules of chess .	F
4894	make	V	T	Make clay into bricks .	Make lead into gold .	F
4895	operation	N	T	They will schedule the operation as soon as an operating room is available .	It is dangerous to look at the beam of a laser while it is in operation .	T
4896	institution	N	T	The institution of slavery .	The institution of marriage .	T
4897	statement	N	T	His tantrums are a statement of his need for attention .	A Cadillac makes a statement about who you are .	T
4898	readiness	N	F	Putting them in readiness .	A happy readiness of conversation "-- Jane Austen .	T
4899	develop	V	F	Please develop this roll of film for me .	They developed a new technique .	F
4900	light	N	F	He stepped into the light .	They played as long as it was light .	T
4901	vehicle	N	T	A congregation is a vehicle of group identity .	His editorials provided a vehicle for his political views .	F
4902	sign	N	T	The hunters found deer sign at the end of the trail .	He showed signs of strain .	F
4903	back	V	F	Can you back up your claims ?	I ca n't back this plan .	T
4904	run	V	T	Let the dogs run free .	Who are these people running around in the building ?	T
4905	work	N	T	A lot of people are out of work .	He has n't come home yet , he 's still at work .	F
4906	set	V	F	Set these words in italics .	Set the house afire .	F
4907	center	N	F	It is a center 's responsibility to get the football to the quarterback .	His stories made him the center of the party .	F
4908	read	V	T	Read the advertisement .	Have you read Salman Rushdie ?	T
4909	hedge	V	T	Diversify your financial portfolio to hedge price risks .	Hedge your bets .	T
4910	trace	V	T	Trace a pattern .	Trace a design .	T
4911	support	N	T	The government provides support to the arts in several ways .	The president no longer has the support of his own party .	F
4912	lash	V	F	To lash something to a spar .	The lion lashed its tail .	F
4913	cover	V	F	The grant does n't cover my salary .	Cover the child with a blanket .	F
4914	develop	V	F	Please develop this roll of film for me .	Develop land .	F
4915	face	V	T	To face the front of a coat , or the bottom of a dress .	Face the lapels of the jacket .	T
4916	language	N	F	Language sets homo sapiens apart from all other animals .	The language introduced is standard throughout the text .	F
4917	call	V	F	We could always call on a friend .	Call roll .	F
4918	tolerate	V	T	I like the way he plays the guitar , but I ca n't tolerate his voice when he sings .	He learned to tolerate the heat .	F
4919	take	V	T	I take it you 're not going ?	You ca n't take credit for this !	F
4920	work	V	T	I will work hard to improve my grades .	John worked with Paul on the task .	T
4921	age	N	T	We live in a litigious age .	The Tithonian Age was the last in the Late Jurassic epoch .	F
4922	complexion	N	F	A rugged complexion .	A liberal political complexion .	F
4923	difference	N	T	It just wo n't make much difference to me .	His support made a real difference .	F
4924	cry	V	T	Before we had newspapers , a town crier would cry the news .	He cried his merchandise in the market square .	F
4925	token	N	F	According to the Bible , the rainbow is a token of God 's covenant with Noah .	A book token is the easiest option for a Christmas gift .	F
4926	number	N	F	The number of parameters is small .	In English the subject and the verb must agree in number .	F
4927	nose	N	F	He ducked under the nose of the gun .	He has a cold in the nose .	F
4928	order	N	T	Order ruled in the streets .	The machinery is out of order .	F
4929	pack	V	F	You had better pack your swollen ankle with ice .	Pack your tents to the top of the mountain .	F
4930	demand	N	F	The automobile reduced the demand for buggywhips .	His demands for attention were unceasing .	F
4931	bankruptcy	N	T	Spiritual bankruptcy .	Moral bankruptcy .	T
4932	experience	N	T	He had a religious experience .	He recalled the experience vividly .	T
4933	movement	N	F	The second movement is slow and melodic .	It was an expensive watch with a diamond movement .	F
4934	union	N	F	There is strength in union .	The Soviet Union .	F
4935	include	V	T	I will purchase the vacation package if you will include car rental .	We must include this chemical element in the group .	F
4936	movement	N	F	The succession of flashing lights gave an illusion of movement .	The labor movement has been struggling in America since the passage of the Taft-Hartley act in 1947 .	F
4937	stay	N	T	They had a nice stay in Paris .	A lengthy hospital stay .	F
4938	year	N	T	In the year 1920 .	A normal year has 365 full days , but there are 366 days in a leap year .	T
4939	resolution	N	F	Printing at higher resolution will cause a reduction in performance .	The resolution of an equation .	F
4940	order	N	F	A friend in New Mexico said that the order caused no trouble out there .	Law and order .	F
4941	come	V	T	Come into contact with a terrorist group .	Your wish will come true .	F
4942	trade	N	F	As they say in the trade .	They are accused of conspiring to constrain trade .	T
4943	carry	V	T	These pipes carry waste water into the river .	Amanda carried the package from home .	F
4944	stuff	N	T	The stuff of heros .	You do n't have the stuff to be a United States Marine .	F
4945	back	V	F	Back into the driveway .	The wind backed .	F
4946	course	N	F	The course of the river .	The government took a firm course .	F
4947	strengthen	V	T	To strengthen authority .	His body strengthened .	F
4948	immolate	V	T	Immolate the valuables at the temple .	The Aztecs immolated human victims .	T
4949	form	N	F	His resentment took the form of extreme hostility .	The composition presents problems for students of musical form .	F
4950	unionize	V	T	My uncle got roughed up by some corporate thugs after they caught him trying to unionize their workers .	The company laid off all the workers when they tried to unionize .	T
4951	allow	V	F	This sealed door wo n't allow the water come into the basement .	To allow a servant his liberty .	F
4952	surprise	N	F	The surprise attack was devastating .	Imagine my surprise on learning I owed twice as much as I thought I did .	T
4953	trade	N	T	I had no further trade with him .	I did no trades with them once the rumors started .	T
4954	earth	V	T	Earth the circuit .	That noise is because the amplifier is not properly earthed .	T
4955	tea	N	T	Would you like some tea ?	The store shelves held many different kinds of tea .	T
4956	block	N	F	I knew his name perfectly well but I had a temporary block .	A block of stone .	F
4957	difference	N	T	It just wo n't make much difference to me .	The difference in her is amazing .	F
4958	face	N	T	He washed his face .	I wish I had seen the look on his face when he got the news .	T
4959	call	V	F	The mayor likes to call on some of the prominent citizens .	She called her children lazy and ungrateful .	F
4960	staple	N	T	Tow is flax with short staple .	Staple fibers vary widely in length .	F
4961	unit	N	F	A unit of wheat is a bushel .	He was a member of a special police unit .	F
4962	command	N	T	General Smith was placed in command .	An admiral in command .	T
4963	union	N	F	There is strength in union .	Let C be the union of the sets A and B .	T
4964	air	N	F	Open a window and let in some air .	As he waited he could feel the air on his neck .	T
4965	roll	V	F	Roll a cigarette .	The drawer rolled open .	F
4966	mire	N	T	Caught in the mire of poverty .	The country is still trying to climb out of the mire left by its previous president .	T
4967	bid	N	T	His bid was $ 35,000 .	A bid for a lucrative transport contract .	T
4968	acknowledgment	N	T	She must have seen him but she gave no sign of acknowledgment .	The preface contained an acknowledgment of those who had helped her .	T
4969	finish	N	T	He applied a coat of a clear finish .	The car 's finish was so shiny and new .	T
